,model_type,region,baseline_response,training_score,testing_score,baseline,model_success,best_params
79,rf,MENA,no beatings,0.9778051787916153,0.922509225092251,0.9131238447319778,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
80,rf,MENA,no crowd_dispersal,0.998766954377312,0.8265682656826568,0.6913123844731978,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}"
81,rf,MENA,no ignore,1.0,0.8339483394833949,0.5600739371534196,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
82,rf,MENA,no killings,0.8988902589395807,0.8819188191881919,0.8826247689463955,no,"{'rf__max_depth': 10, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
83,rf,MENA,no shootings,0.9790382244143033,0.8634686346863468,0.8706099815157117,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 300}"
84,rf,North America,no accomodation,1.0,0.9435483870967742,0.9107505070993915,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
85,rf,North America,no arrests,0.8834688346883469,0.8951612903225806,0.8113590263691683,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
86,rf,North America,no beatings,0.997289972899729,0.967741935483871,0.973630831643002,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
87,rf,North America,no crowd_dispersal,0.991869918699187,0.8629032258064516,0.8093306288032455,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 300}"
88,rf,North America,ignore,0.994579945799458,0.8629032258064516,0.5760649087221096,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
89,rf,North America,no killings,1.0,0.9274193548387096,0.9574036511156186,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
90,rf,North America,no shootings,1.0,0.8870967741935484,0.9127789046653144,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
91,rf,Central America,no accomodation,1.0,0.9166666666666666,0.916083916083916,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
92,rf,Central America,no arrests,1.0,0.8518518518518519,0.8834498834498834,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
93,rf,Central America,no beatings,1.0,0.9537037037037037,0.9673659673659674,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
94,rf,Central America,no crowd_dispersal,0.9937694704049844,0.8055555555555556,0.6899766899766899,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}"
95,rf,Central America,ignore,1.0,0.75,0.5990675990675991,yes,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
96,rf,Central America,no killings,1.0,0.9444444444444444,0.9533799533799534,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
97,rf,Central America,no shootings,0.9003115264797508,0.8333333333333334,0.8834498834498834,no,"{'rf__max_depth': None, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}"
98,svc,Europe,no accomodation,0.9949832775919732,0.9298245614035088,0.9220480668756531,no,"{'svc__C': 5, 'svc__degree': 2}"
99,svc,Europe,no arrests,0.9913600891861761,0.9064327485380117,0.8854754440961338,no,"{'svc__C': 5, 'svc__degree': 2}"
100,svc,Europe,no beatings,0.9980490523968785,0.9715956558061821,0.967816091954023,no,"{'svc__C': 5, 'svc__degree': 2}"
101,svc,Europe,no crowd_dispersal,0.9927536231884058,0.8863826232247285,0.7684430512016719,yes,"{'svc__C': 5, 'svc__degree': 2}"
102,svc,Europe,ignore,0.9838350055741361,0.8571428571428571,0.6764890282131661,yes,"{'svc__C': 5, 'svc__degree': 2}"
103,svc,Europe,no killings,0.9988851727982163,0.9866332497911445,0.9928944618599791,no,"{'svc__C': 5, 'svc__degree': 2}"
104,svc,Europe,no shootings,0.9980490523968785,0.9908103592314118,0.9914315569487984,no,"{'svc__C': 5, 'svc__degree': 2}"
105,svc,Africa,no accomodation,0.9947089947089947,0.8916776750330251,0.8733884297520661,no,"{'svc__C': 5, 'svc__degree': 2}"
106,svc,Africa,no arrests,0.9929453262786596,0.8718626155878467,0.8320661157024793,no,"{'svc__C': 5, 'svc__degree': 2}"
107,svc,Africa,no beatings,0.9955908289241623,0.9273447820343461,0.9226446280991736,no,"{'svc__C': 5, 'svc__degree': 2}"
108,svc,Africa,no crowd_dispersal,0.9925044091710759,0.7939233817701453,0.5639669421487603,yes,"{'svc__C': 5, 'svc__degree': 2}"
109,svc,Africa,no ignore,0.9947089947089947,0.8163804491413474,0.5857851239669422,yes,"{'svc__C': 5, 'svc__degree': 2}"
110,svc,Africa,no killings,0.9982363315696648,0.9220607661822986,0.8981818181818182,no,"{'svc__C': 5, 'svc__degree': 2}"
111,svc,Africa,no shootings,0.996031746031746,0.9062087186261559,0.871404958677686,no,"{'svc__C': 5, 'svc__degree': 2}"
112,svc,Asia,no accomodation,0.969416126042632,0.8777777777777778,0.8756080611535789,no,"{'svc__C': 5, 'svc__degree': 2}"
113,svc,Asia,no arrests,0.9518072289156626,0.8402777777777778,0.8485059068797776,no,"{'svc__C': 5, 'svc__degree': 2}"
114,svc,Asia,no beatings,0.9796107506950881,0.9236111111111112,0.9204308547602502,no,"{'svc__C': 5, 'svc__degree': 2}"
115,svc,Asia,no crowd_dispersal,0.9582947173308619,0.7930555555555555,0.7029186935371786,yes,"{'svc__C': 5, 'svc__degree': 2}"
116,svc,Asia,ignore,0.938368860055607,0.7777777777777778,0.5059068797776234,yes,"{'svc__C': 5, 'svc__degree': 2}"
117,svc,Asia,no killings,0.9828544949026877,0.9458333333333333,0.9444058373870744,no,"{'svc__C': 5, 'svc__degree': 2}"
118,svc,Asia,no shootings,0.9860982391102873,0.9597222222222223,0.9503127171646977,no,"{'svc__C': 5, 'svc__degree': 2}"
119,svc,South America,no accomodation,0.9516539440203562,0.8854961832061069,0.8867684478371501,no,"{'svc__C': 5, 'svc__degree': 2}"
120,svc,South America,no arrests,0.9601357082273113,0.8956743002544529,0.8842239185750637,no,"{'svc__C': 5, 'svc__degree': 2}"
121,svc,South America,no beatings,0.996607294317218,0.989821882951654,0.9872773536895675,no,"{'svc__C': 5, 'svc__degree': 2}"
122,svc,South America,no crowd_dispersal,0.9431721798134012,0.7964376590330788,0.6762086513994912,yes,"{'svc__C': 5, 'svc__degree': 2}"
123,svc,South America,ignore,0.904156064461408,0.7862595419847328,0.5674300254452926,yes,"{'svc__C': 5, 'svc__degree': 2}"
124,svc,South America,no killings,0.9796437659033079,0.9491094147582697,0.9472010178117048,no,"{'svc__C': 5, 'svc__degree': 2}"
125,svc,South America,no shootings,0.993214588634436,0.9770992366412213,0.9713740458015268,no,"{'svc__C': 5, 'svc__degree': 2}"
126,svc,MENA,no accomodation,0.9889025893958077,0.940959409594096,0.9168207024029575,no,"{'svc__C': 5, 'svc__degree': 2}"
127,svc,MENA,no arrests,0.9765721331689272,0.8671586715867159,0.8428835489833642,no,"{'svc__C': 5, 'svc__degree': 2}"
128,svc,MENA,no beatings,0.9864364981504316,0.8819188191881919,0.9131238447319778,no,"{'svc__C': 5, 'svc__degree': 2}"
129,svc,MENA,no crowd_dispersal,0.9753390875462392,0.8118081180811808,0.6913123844731978,yes,"{'svc__C': 5, 'svc__degree': 2}"
130,svc,MENA,no ignore,0.9716399506781751,0.7306273062730627,0.5600739371534196,yes,"{'svc__C': 5, 'svc__degree': 2}"
131,svc,MENA,no killings,0.9889025893958077,0.8597785977859779,0.8826247689463955,no,"{'svc__C': 5, 'svc__degree': 2}"
132,svc,MENA,no shootings,0.9790382244143033,0.8745387453874539,0.8706099815157117,no,"{'svc__C': 5, 'svc__degree': 2}"
133,svc,North America,no accomodation,0.997289972899729,0.9032258064516129,0.9107505070993915,no,"{'svc__C': 5, 'svc__degree': 2}"
134,svc,North America,no arrests,0.991869918699187,0.8790322580645161,0.8113590263691683,yes,"{'svc__C': 5, 'svc__degree': 2}"
135,svc,North America,no beatings,1.0,0.9758064516129032,0.973630831643002,no,"{'svc__C': 5, 'svc__degree': 2}"
136,svc,North America,no crowd_dispersal,0.981029810298103,0.9274193548387096,0.8093306288032455,yes,"{'svc__C': 5, 'svc__degree': 2}"
137,svc,North America,ignore,0.986449864498645,0.7419354838709677,0.5760649087221096,yes,"{'svc__C': 5, 'svc__degree': 2}"
138,svc,North America,no killings,1.0,0.9596774193548387,0.9574036511156186,no,"{'svc__C': 5, 'svc__degree': 2}"
139,svc,North America,no shootings,0.991869918699187,0.9112903225806451,0.9127789046653144,no,"{'svc__C': 5, 'svc__degree': 2}"
140,svc,Central America,no accomodation,0.9937694704049844,0.8888888888888888,0.916083916083916,no,"{'svc__C': 5, 'svc__degree': 2}"
141,svc,Central America,no arrests,0.9937694704049844,0.8703703703703703,0.8834498834498834,no,"{'svc__C': 5, 'svc__degree': 2}"
142,svc,Central America,no beatings,0.9937694704049844,0.9814814814814815,0.9673659673659674,no,"{'svc__C': 5, 'svc__degree': 2}"
143,svc,Central America,no crowd_dispersal,0.9906542056074766,0.8148148148148148,0.6899766899766899,yes,"{'svc__C': 5, 'svc__degree': 2}"
144,svc,Central America,ignore,0.9968847352024922,0.7777777777777778,0.5990675990675991,yes,"{'svc__C': 5, 'svc__degree': 2}"
145,svc,Central America,no killings,0.9968847352024922,0.9629629629629629,0.9533799533799534,no,"{'svc__C': 5, 'svc__degree': 2}"
146,svc,Central America,no shootings,1.0,0.8888888888888888,0.8834498834498834,no,"{'svc__C': 5, 'svc__degree': 2}"
